Keyword,Title,Date,Location,Icon,Link
,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",,Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e
,3d New England Spring 7v7,"Mar 24, 2019","West Roxbury, MA",,Public/Results/Tournament.aspx?IDTournament=h20190318142914185955bff5f852148
,CELL Winter Session,"Dec 2, 2018 - Feb 10, 2019","Acton, MA",,Public/Results/Tournament.aspx?IDTournament=h20181125214548721f5a252f81ea945
,South Windsor Robin Klemba Bobcat Blast,"Apr 27, 2019","South Windsor, CT",,Public/Results/Tournament.aspx?IDTournament=h20190422175940624b0f6d099b6d44d
,3X NE - CT Sportsplex 2019,"Feb 18, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h201902152227117316aa49b3d50c746
,2019 Shamrock Shootout,"Mar 16, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h201902201435234829cfbfa7271ab45
,2019 SPRING LAX JAM BOYS TOWN & GIRLS,"Apr 20, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h20190403144258324aa0779ecfb774c
,2019 SPRING LAX JAM BOYS TRAVEL,"Apr 27, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h20190418145932829dc1012cd06a44b
,King of the Hill,"May 4, 2019","Dix Hills, NY",,Public/Results/Tournament.aspx?IDTournament=h201904230006555870f8c6908e4874a
,Blatant Town Cup,"Apr 13, 2019","Huntington Station, NY",,Public/Results/Tournament.aspx?IDTournament=h201811131658395511d4b8324d4894f
,USBOXLA Island Box Presidents Cup,"Feb 16, 2019","Bethpage, NY",,Public/Results/Tournament.aspx?IDTournament=h201901232247303961f17ae5a733b4b
,4th Annual Penguin Invitational Sponsored by Team  Igloo,"May 4, 2019","Brookville, NY",,Public/Results/Tournament.aspx?IDTournament=h20190104141449505e5b03bb143b246
,Ice Breaker Lacrosse Tournament 2019,"Mar 30 - Apr 7, 2019","Brookfield, CT",,Public/Results/Tournament.aspx?IDTournament=h201810171834536175a5cfff4a2434e
,Ronald McDonald Lacrosse Tourney,"Mar 31, 2019","stamford, CT",,Public/Results/Tournament.aspx?IDTournament=h20190228141501206a4d1f0f5d69144
,South Salem Spring Shootout,"May 4 - 5, 2019","South Salem, NY",,Public/Results/Tournament.aspx?IDTournament=h2019041617113525210924aedc10142
,Trilogy MetLife Stadium Classic 2019,"Apr 14, 2019","East Rutherford, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190408131206027c3a4f996871045
,O2 Skyline Tournament Youth Division,"Feb 9 - 10, 2019","North Arlington, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190204183016255699da5932a374d
,Trilogy Winter League (2018-19),"Dec 1, 2018 - Feb 10, 2019","Clifton, NJ",,Public/Results/Tournament.aspx?IDTournament=h20181119185139094481cb637b0e44d
